@relation  letter
@attribute X-box numeric
@attribute Y-box numeric
@attribute Width numeric
@attribute High numeric
@attribute Onpix numeric
@attribute X-bar numeric
@attribute Y-bar numeric
@attribute X2bar numeric
@attribute Y2bar numeric
@attribute Xybar numeric
@attribute X2ybr numeric
@attribute Xy2br numeric
@attribute X-ege numeric
@attribute Xegvy numeric
@attribute Y-ege numeric
@attribute Yegvx numeric
@attribute Class {A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z}


@data
3, 5, 5, 4, 3, 9, 6, 4, 6, 10, 4, 5, 2, 8, 3, 8, D
4, 9, 6, 6, 5, 6, 7, 8, 7, 7, 7, 5, 3, 8, 3, 8, D
6, 9, 9, 8, 8, 6, 6, 5, 7, 7, 6, 8, 5, 6, 6, 4, D
3, 9, 4, 7, 4, 6, 7, 10, 7, 7, 7, 6, 3, 8, 3, 8, D
4, 9, 5, 6, 4, 8, 7, 6, 6, 10, 5, 5, 3, 8, 3, 8, D
8, 13, 7, 7, 6, 9, 6, 4, 6, 10, 4, 7, 6, 7, 9, 7, D
4, 8, 5, 6, 4, 7, 7, 5, 5, 7, 6, 7, 4, 8, 3, 7, D
4, 5, 4, 8, 3, 5, 7, 11, 8, 7, 7, 5, 3, 8, 4, 8, D
2, 5, 4, 4, 3, 9, 6, 4, 6, 10, 4, 6, 2, 8, 3, 8, D
5, 6, 6, 6, 5, 6, 6, 5, 7, 7, 6, 8, 4, 6, 6, 5, D
4, 8, 6, 6, 4, 9, 6, 3, 7, 11, 4, 6, 3, 9, 4, 9, D
6, 9, 8, 7, 5, 9, 6, 4, 7, 10, 5, 6, 3, 8, 3, 9, D
2, 0, 2, 1, 1, 5, 7, 8, 6, 6, 6, 6, 2, 8, 3, 8, D
4, 8, 5, 6, 3, 9, 7, 4, 7, 11, 4, 5, 3, 8, 3, 8, D
4, 10, 4, 7, 3, 6, 7, 11, 9, 6, 5, 6, 3, 8, 4, 8, D
3, 8, 5, 6, 7, 9, 8, 4, 4, 7, 6, 6, 4, 7, 7, 6, D
4, 6, 5, 4, 4, 9, 6, 4, 6, 9, 4, 6, 3, 8, 3, 8, D
1, 0, 2, 0, 0, 6, 7, 7, 6, 7, 6, 6, 2, 8, 3, 8, D
2, 3, 3, 2, 2, 7, 7, 6, 6, 7, 6, 5, 2, 8, 3, 7, D
3, 7, 4, 5, 4, 8, 8, 6, 5, 9, 6, 4, 3, 8, 3, 6, D
4, 5, 5, 4, 4, 7, 7, 7, 7, 7, 6, 5, 2, 8, 3, 7, D
3, 6, 5, 4, 3, 9, 7, 5, 7, 10, 5, 4, 3, 8, 3, 8, D
3, 6, 5, 4, 6, 9, 9, 4, 4, 7, 6, 6, 3, 8, 7, 5, D
4, 6, 6, 4, 5, 8, 7, 5, 6, 9, 4, 5, 3, 8, 3, 8, D
4, 11, 6, 8, 5, 8, 7, 6, 8, 7, 6, 5, 6, 8, 3, 7, D
5, 11, 7, 8, 6, 6, 7, 8, 7, 5, 4, 5, 3, 9, 4, 9, D
6, 11, 7, 8, 4, 6, 7, 11, 11, 6, 5, 6, 3, 8, 4, 8, D
3, 8, 5, 6, 5, 8, 7, 7, 6, 8, 4, 5, 4, 9, 4, 8, D
3, 1, 4, 2, 2, 7, 7, 6, 6, 7, 6, 5, 2, 8, 3, 7, D
4, 8, 5, 6, 4, 8, 7, 6, 7, 10, 4, 5, 3, 8, 3, 8, D
5, 8, 6, 7, 6, 6, 7, 5, 6, 7, 5, 9, 5, 4, 8, 4, D
1, 0, 1, 0, 0, 6, 7, 6, 4, 7, 6, 6, 2, 8, 2, 8, D
3, 2, 4, 4, 3, 7, 7, 7, 6, 6, 6, 5, 2, 8, 3, 7, D
3, 7, 4, 5, 4, 10, 6, 3, 6, 10, 4, 7, 3, 8, 3, 9, D
3, 8, 4, 6, 2, 6, 7, 10, 9, 6, 6, 6, 3, 8, 4, 8, D
3, 2, 4, 3, 3, 7, 7, 6, 6, 6, 6, 5, 5, 8, 3, 7, D
3, 4, 5, 3, 2, 8, 7, 1, 8, 11, 5, 8, 2, 8, 4, 10, E
4, 7, 6, 5, 4, 9, 6, 1, 7, 11, 4, 8, 3, 8, 4, 11, E
5, 8, 7, 6, 5, 6, 8, 3, 8, 11, 8, 9, 3, 9, 5, 7, E
5, 8, 7, 6, 5, 4, 9, 2, 8, 10, 8, 9, 3, 9, 4, 6, E
3, 7, 3, 5, 2, 3, 8, 6, 11, 7, 5, 14, 0, 8, 7, 8, E
3, 5, 4, 4, 3, 7, 7, 6, 8, 7, 6, 9, 2, 8, 6, 9, E
2, 4, 4, 3, 2, 6, 8, 3, 9, 11, 8, 9, 2, 8, 4, 6, E
1, 0, 2, 1, 1, 5, 7, 5, 8, 7, 6, 12, 0, 8, 6, 9, E
6, 9, 8, 8, 8, 5, 8, 4, 4, 8, 7, 9, 4, 10, 9, 10, E
5, 8, 7, 6, 4, 7, 7, 3, 8, 12, 7, 9, 3, 8, 5, 8, E
2, 1, 2, 3, 2, 7, 7, 5, 6, 7, 6, 9, 2, 8, 5, 10, E
6, 10, 8, 8, 5, 5, 8, 4, 9, 12, 9, 9, 3, 8, 5, 6, E
4, 9, 5, 7, 3, 3, 7, 6, 11, 7, 6, 15, 0, 8, 7, 7, E
4, 8, 6, 6, 5, 5, 8, 5, 7, 11, 9, 9, 3, 8, 5, 5, E
4, 8, 5, 6, 5, 7, 7, 5, 8, 7, 7, 9, 3, 8, 6, 9, E
5, 9, 7, 7, 5, 10, 6, 2, 9, 11, 4, 8, 2, 8, 5, 12, E
5, 9, 4, 4, 2, 7, 8, 4, 7, 9, 6, 9, 1, 9, 7, 9, E
5, 11, 7, 8, 6, 6, 8, 4, 7, 11, 9, 8, 3, 8, 4, 6, E
3, 7, 4, 5, 3, 7, 7, 6, 10, 6, 5, 9, 2, 8, 6, 8, E
5, 6, 5, 8, 3, 3, 7, 6, 11, 7, 6, 15, 0, 8, 7, 7, E
2, 5, 4, 3, 2, 7, 8, 2, 8, 11, 7, 9, 2, 9, 4, 8, E
3, 8, 3, 6, 2, 3, 6, 6, 11, 7, 7, 15, 0, 8, 6, 7, E
1, 0, 1, 1, 0, 5, 7, 5, 7, 7, 6, 12, 0, 8, 6, 10, E
3, 7, 4, 5, 3, 3, 7, 5, 9, 7, 6, 14, 0, 8, 6, 9, E
4, 8, 5, 6, 5, 8, 7, 6, 3, 6, 6, 10, 3, 8, 7, 9, E
5, 9, 7, 6, 4, 7, 7, 2, 9, 11, 6, 9, 2, 8, 4, 8, E
3, 3, 3, 4, 2, 3, 7, 6, 10, 7, 6, 14, 0, 8, 7, 7, E
3, 6, 5, 6, 5, 6, 8, 4, 3, 7, 7, 10, 4, 10, 7, 12, E
1, 1, 1, 1, 1, 4, 7, 5, 8, 7, 6, 13, 0, 8, 6, 9, E
3, 8, 5, 6, 5, 6, 7, 3, 6, 7, 7, 11, 4, 10, 9, 8, E
3, 7, 4, 5, 4, 8, 8, 4, 7, 7, 5, 8, 3, 8, 5, 10, E
4, 10, 6, 8, 8, 7, 7, 3, 5, 6, 7, 10, 5, 10, 8, 8, E
3, 2, 4, 3, 3, 7, 7, 5, 8, 7, 5, 8, 2, 8, 6, 9, E
4, 5, 6, 4, 3, 7, 7, 2, 8, 11, 7, 9, 2, 8, 4, 8, E
1, 3, 3, 2, 1, 6, 8, 2, 7, 11, 7, 9, 1, 8, 4, 9, E
4, 10, 6, 8, 6, 6, 8, 6, 9, 6, 4, 10, 2, 8, 6, 9, E
1, 3, 2, 2, 2, 7, 7, 5, 6, 7, 6, 8, 2, 8, 5, 10, E
4, 7, 5, 5, 3, 7, 8, 2, 8, 11, 6, 8, 2, 8, 5, 8, E
4, 11, 4, 8, 3, 3, 7, 6, 11, 7, 6, 15, 0, 8, 7, 7, E
3, 5, 5, 4, 3, 5, 8, 3, 9, 11, 8, 10, 2, 8, 4, 7, E
2, 7, 4, 5, 4, 7, 8, 3, 5, 5, 7, 10, 3, 11, 7, 8, E
3, 3, 4, 5, 2, 3, 7, 6, 11, 7, 6, 15, 0, 8, 7, 7, E
4, 7, 5, 5, 4, 10, 6, 2, 7, 11, 4, 8, 4, 9, 5, 12, E
2, 3, 4, 2, 2, 7, 7, 2, 7, 11, 6, 9, 2, 8, 4, 8, E
4, 8, 6, 6, 6, 8, 10, 6, 4, 6, 6, 9, 4, 6, 7, 9, E
6, 10, 9, 8, 7, 10, 6, 2, 7, 11, 5, 8, 6, 8, 6, 11, E
2, 7, 2, 5, 3, 3, 6, 4, 8, 6, 6, 13, 0, 8, 6, 10, E
5, 10, 7, 8, 6, 9, 7, 2, 7, 11, 5, 8, 3, 8, 5, 10, E
4, 10, 4, 8, 4, 3, 8, 5, 9, 7, 6, 14, 0, 8, 6, 8, E
4, 8, 5, 6, 3, 3, 7, 6, 11, 7, 7, 14, 0, 8, 7, 7, E
4, 10, 4, 7, 3, 3, 8, 6, 11, 7, 5, 15, 0, 8, 7, 7, E
0, 0, 1, 0, 0, 5, 7, 5, 6, 7, 6, 12, 0, 8, 5, 11, E
7, 12, 5, 6, 4, 8, 7, 4, 4, 11, 5, 9, 3, 9, 8, 11, E
4, 10, 5, 8, 3, 3, 9, 6, 12, 7, 5, 14, 0, 8, 8, 7, E
4, 9, 3, 4, 2, 8, 7, 3, 4, 10, 5, 8, 3, 9, 8, 11, E
2, 5, 4, 3, 2, 6, 7, 1, 8, 11, 6, 9, 2, 8, 4, 8, E
5, 10, 8, 8, 9, 7, 8, 3, 6, 6, 7, 11, 4, 11, 8, 7, E
2, 3, 3, 2, 1, 6, 8, 1, 7, 11, 6, 9, 2, 8, 3, 8, E
3, 7, 4, 5, 4, 7, 7, 5, 8, 8, 8, 9, 3, 9, 6, 9, E
3, 8, 3, 6, 2, 3, 7, 6, 10, 7, 6, 14, 0, 8, 7, 8, E
5, 8, 6, 6, 6, 8, 5, 6, 3, 7, 7, 9, 4, 8, 8, 10, E
6, 9, 8, 7, 7, 8, 5, 7, 3, 8, 6, 11, 5, 8, 8, 10, E
2, 3, 4, 2, 2, 7, 7, 2, 7, 11, 7, 9, 2, 8, 4, 8, E
2, 2, 3, 3, 3, 7, 7, 5, 7, 7, 7, 9, 2, 8, 5, 10, E
5, 10, 5, 8, 5, 3, 8, 5, 9, 7, 6, 14, 0, 8, 6, 8, E
7, 11, 10, 8, 6, 8, 7, 2, 9, 11, 6, 9, 5, 7, 6, 8, E
6, 13, 5, 7, 4, 6, 8, 5, 5, 10, 6, 9, 3, 8, 8, 11, E
4, 10, 5, 8, 7, 8, 7, 3, 5, 6, 7, 10, 4, 9, 8, 8, E
4, 8, 6, 6, 6, 6, 8, 6, 8, 6, 4, 11, 3, 8, 6, 9, E
4, 5, 4, 4, 4, 7, 7, 5, 8, 7, 7, 9, 2, 8, 6, 9, E
4, 11, 5, 8, 6, 7, 7, 5, 8, 7, 6, 9, 3, 8, 6, 9, E
6, 12, 4, 6, 2, 7, 9, 6, 7, 9, 6, 10, 1, 9, 8, 9, E
7, 15, 6, 8, 5, 7, 7, 4, 5, 10, 6, 9, 3, 9, 8, 10, E
6, 10, 8, 8, 6, 4, 10, 4, 8, 11, 10, 8, 3, 8, 4, 4, E
3, 2, 3, 3, 3, 7, 7, 5, 7, 7, 6, 9, 2, 8, 5, 10, E
3, 8, 3, 6, 3, 3, 6, 5, 9, 5, 4, 13, 0, 8, 6, 9, E
3, 5, 6, 3, 3, 7, 8, 2, 9, 12, 6, 8, 2, 8, 5, 8, E
2, 6, 4, 4, 3, 5, 10, 3, 5, 10, 9, 6, 2, 10, 3, 6, F
2, 7, 2, 5, 2, 1, 11, 3, 4, 11, 11, 8, 0, 8, 1, 7, F
3, 8, 6, 6, 6, 8, 7, 1, 4, 10, 6, 7, 5, 9, 4, 5, F
4, 9, 4, 6, 2, 1, 13, 5, 4, 12, 11, 7, 0, 8, 2, 6, F
5, 7, 6, 8, 7, 7, 9, 4, 4, 7, 6, 7, 4, 9, 9, 8, F
8, 13, 7, 7, 3, 6, 9, 3, 6, 12, 5, 5, 2, 8, 6, 6, F
5, 8, 6, 10, 8, 7, 9, 5, 5, 7, 6, 7, 4, 9, 9, 7, F
5, 11, 5, 8, 4, 1, 13, 4, 4, 12, 10, 7, 0, 8, 2, 6, F
7, 11, 6, 6, 3, 7, 8, 2, 8, 11, 6, 6, 2, 10, 5, 6, F
2, 7, 3, 4, 1, 1, 11, 4, 6, 11, 11, 10, 0, 8, 2, 6, F
2, 3, 4, 2, 1, 5, 11, 3, 5, 13, 7, 4, 1, 9, 1, 7, F
3, 8, 4, 6, 3, 4, 10, 3, 6, 10, 10, 6, 1, 10, 3, 6, F
3, 4, 5, 3, 2, 6, 10, 2, 5, 13, 7, 5, 1, 10, 2, 7, F
4, 8, 4, 6, 3, 1, 13, 4, 3, 12, 10, 7, 0, 8, 1, 6, F
4, 9, 6, 7, 3, 4, 13, 3, 4, 13, 8, 4, 1, 10, 2, 6, F
6, 10, 8, 7, 5, 6, 10, 1, 6, 13, 7, 5, 1, 10, 2, 7, F
7, 13, 7, 7, 5, 8, 10, 3, 5, 11, 5, 4, 4, 9, 8, 7, F
3, 9, 4, 7, 3, 0, 11, 3, 4, 11, 11, 8, 0, 8, 2, 7, F
2, 1, 3, 3, 2, 5, 11, 4, 5, 11, 9, 5, 1, 10, 3, 6, F
4, 6, 6, 4, 3, 7, 9, 3, 6, 13, 6, 5, 2, 9, 2, 7, F
4, 8, 6, 6, 3, 4, 12, 4, 5, 13, 8, 4, 2, 10, 2, 6, F
2, 3, 4, 2, 1, 6, 10, 2, 5, 13, 6, 4, 1, 9, 1, 7, F
4, 9, 4, 4, 2, 6, 10, 2, 5, 11, 7, 5, 2, 9, 5, 5, F
1, 0, 1, 0, 0, 3, 11, 4, 2, 11, 8, 6, 0, 8, 2, 8, F
3, 8, 4, 6, 2, 1, 14, 5, 3, 12, 10, 5, 0, 8, 2, 6, F
2, 5, 4, 4, 2, 6, 10, 2, 6, 13, 7, 6, 1, 9, 2, 7, F
5, 5, 5, 7, 2, 1, 13, 5, 5, 12, 10, 7, 0, 8, 2, 6, F
5, 9, 8, 7, 8, 10, 7, 1, 5, 9, 5, 5, 6, 10, 5, 8, F
7, 10, 6, 6, 4, 9, 7, 3, 5, 11, 5, 6, 4, 9, 6, 9, F
5, 8, 6, 6, 6, 7, 8, 6, 4, 8, 6, 8, 3, 11, 8, 11, F
3, 2, 4, 3, 2, 5, 10, 4, 6, 11, 9, 5, 1, 10, 3, 6, F
8, 12, 7, 6, 4, 9, 7, 4, 7, 12, 4, 6, 2, 8, 8, 8, F
2, 3, 3, 2, 1, 7, 9, 2, 5, 13, 6, 5, 1, 9, 1, 8, F
5, 10, 7, 7, 4, 7, 10, 3, 6, 13, 7, 5, 2, 10, 2, 7, F
3, 3, 3, 4, 1, 1, 12, 5, 4, 11, 10, 7, 0, 8, 3, 7, F
4, 8, 4, 6, 2, 1, 11, 5, 7, 12, 11, 9, 0, 8, 2, 6, F
4, 4, 4, 6, 2, 1, 15, 5, 3, 12, 9, 4, 0, 8, 2, 6, F
1, 3, 3, 1, 1, 5, 10, 2, 5, 13, 7, 5, 1, 9, 1, 7, F
4, 10, 4, 7, 2, 1, 13, 5, 3, 12, 9, 6, 0, 8, 3, 6, F
2, 1, 3, 2, 2, 6, 10, 4, 5, 10, 9, 5, 1, 9, 3, 7, F
5, 10, 6, 8, 7, 7, 6, 6, 4, 8, 6, 8, 6, 10, 7, 11, F
6, 9, 8, 6, 5, 10, 8, 2, 6, 13, 4, 5, 3, 9, 3, 9, F
5, 7, 7, 5, 3, 7, 10, 2, 7, 14, 5, 4, 2, 9, 4, 7, F
3, 5, 3, 3, 2, 5, 12, 5, 6, 11, 9, 3, 1, 10, 3, 5, F
0, 0, 1, 0, 0, 3, 12, 4, 2, 11, 9, 6, 0, 8, 2, 8, F
3, 8, 4, 6, 4, 6, 9, 3, 6, 10, 9, 5, 2, 10, 3, 6, F
3, 7, 6, 5, 5, 8, 8, 1, 4, 9, 6, 6, 3, 10, 4, 4, F
3, 5, 5, 3, 2, 6, 12, 3, 5, 13, 7, 3, 1, 10, 2, 6, F
2, 3, 2, 2, 1, 5, 11, 4, 4, 11, 9, 5, 1, 9, 3, 7, F
3, 9, 4, 6, 1, 1, 14, 5, 3, 12, 10, 5, 0, 8, 2, 6, F
4, 7, 6, 5, 4, 8, 8, 2, 6, 13, 5, 5, 2, 10, 3, 9, F
5, 11, 7, 8, 7, 5, 9, 4, 6, 10, 10, 6, 2, 9, 3, 6, F
1, 3, 2, 2, 1, 5, 10, 3, 5, 10, 9, 6, 1, 10, 2, 7, F
4, 11, 6, 8, 4, 2, 13, 4, 4, 12, 9, 5, 1, 10, 2, 5, F
3, 5, 5, 4, 2, 6, 11, 2, 6, 14, 7, 4, 1, 10, 2, 7, F
1, 1, 2, 1, 0, 2, 12, 4, 3, 11, 9, 6, 0, 8, 2, 7, F
4, 7, 5, 5, 3, 6, 10, 4, 5, 12, 7, 5, 2, 9, 2, 6, F
4, 6, 6, 4, 6, 7, 7, 5, 3, 7, 6, 9, 3, 9, 8, 11, F
2, 5, 3, 4, 2, 6, 9, 4, 5, 10, 9, 6, 2, 10, 3, 6, F
4, 7, 6, 5, 2, 7, 10, 2, 7, 14, 5, 4, 1, 10, 2, 8, F
4, 10, 4, 7, 2, 1, 11, 5, 6, 11, 11, 9, 0, 8, 2, 6, F
3, 3, 4, 4, 1, 1, 15, 5, 3, 12, 9, 4, 0, 8, 2, 6, F
3, 7, 5, 5, 2, 3, 12, 4, 4, 13, 9, 5, 1, 10, 2, 6, F
4, 11, 5, 8, 4, 3, 11, 3, 7, 11, 10, 6, 1, 10, 3, 5, F
6, 9, 8, 7, 4, 6, 12, 6, 6, 13, 7, 3, 2, 9, 2, 5, F
9, 14, 8, 8, 6, 7, 11, 3, 4, 12, 6, 4, 6, 8, 9, 5, F
6, 11, 8, 8, 8, 7, 6, 5, 5, 7, 6, 8, 6, 10, 8, 12, F
4, 5, 6, 6, 5, 7, 9, 4, 5, 8, 6, 7, 4, 9, 8, 7, F
3, 7, 3, 4, 1, 1, 13, 5, 4, 12, 10, 7, 0, 8, 2, 6, F
2, 6, 3, 4, 2, 4, 11, 5, 5, 11, 10, 6, 2, 10, 2, 6, F
5, 11, 6, 8, 6, 5, 10, 5, 6, 10, 10, 6, 2, 9, 3, 5, F
2, 4, 3, 3, 2, 7, 9, 2, 5, 13, 6, 6, 2, 11, 2, 7, F
3, 5, 5, 6, 4, 7, 10, 4, 4, 8, 7, 7, 3, 9, 6, 5, F
5, 11, 5, 8, 2, 1, 15, 5, 3, 12, 8, 3, 0, 8, 3, 6, F
4, 10, 5, 8, 6, 5, 9, 4, 6, 9, 10, 7, 2, 9, 3, 6, F
5, 8, 7, 6, 3, 4, 12, 3, 6, 14, 8, 4, 1, 10, 1, 7, F
4, 8, 6, 6, 5, 4, 10, 1, 2, 10, 8, 7, 5, 10, 2, 4, F
6, 11, 6, 8, 4, 6, 7, 7, 6, 9, 8, 11, 3, 7, 6, 8, G
4, 7, 4, 5, 3, 7, 6, 6, 6, 10, 6, 12, 2, 10, 4, 9, G
4, 7, 6, 5, 3, 6, 6, 6, 7, 6, 6, 10, 3, 7, 4, 8, G
3, 5, 4, 4, 2, 6, 7, 5, 5, 9, 7, 10, 2, 9, 4, 10, G
4, 7, 6, 5, 3, 5, 5, 5, 7, 6, 5, 9, 2, 10, 4, 7, G
5, 7, 5, 5, 3, 6, 7, 6, 6, 9, 7, 10, 2, 8, 4, 9, G
3, 9, 4, 7, 2, 7, 7, 8, 7, 5, 6, 9, 2, 7, 6, 11, G
7, 10, 7, 8, 5, 6, 6, 7, 7, 10, 7, 11, 2, 9, 5, 9, G
5, 9, 6, 7, 3, 8, 6, 8, 9, 6, 6, 10, 1, 8, 6, 10, G
6, 11, 7, 8, 6, 6, 6, 6, 5, 5, 6, 10, 2, 9, 4, 8, G
4, 7, 6, 5, 5, 7, 8, 5, 3, 6, 6, 11, 4, 8, 7, 8, G
4, 11, 5, 8, 5, 7, 7, 8, 6, 5, 7, 9, 2, 7, 6, 10, G
10, 14, 8, 8, 5, 8, 8, 5, 4, 9, 6, 6, 4, 9, 9, 8, G
2, 1, 3, 2, 2, 7, 6, 6, 5, 6, 6, 9, 2, 9, 4, 9, G
4, 9, 5, 7, 4, 5, 7, 5, 4, 9, 8, 9, 2, 8, 5, 9, G
4, 8, 5, 6, 3, 7, 7, 7, 7, 11, 6, 11, 2, 9, 4, 9, G
7, 12, 6, 7, 3, 10, 4, 4, 4, 10, 3, 6, 4, 7, 5, 9, G
5, 10, 7, 8, 8, 9, 6, 5, 2, 6, 6, 10, 8, 8, 5, 10, G
1, 0, 2, 0, 1, 8, 6, 5, 5, 6, 5, 9, 1, 8, 5, 10, G
2, 1, 2, 2, 1, 8, 6, 6, 6, 6, 5, 10, 1, 7, 5, 10, G
2, 1, 2, 2, 1, 7, 7, 6, 5, 6, 6, 9, 2, 9, 4, 9, G
4, 7, 5, 5, 2, 7, 6, 7, 9, 6, 5, 10, 1, 8, 6, 11, G
4, 9, 4, 4, 3, 8, 6, 4, 2, 9, 6, 8, 3, 9, 7, 7, G
2, 4, 3, 3, 2, 6, 7, 6, 6, 6, 6, 11, 2, 9, 4, 9, G
4, 5, 5, 4, 3, 7, 6, 6, 6, 6, 6, 10, 2, 9, 4, 8, G
3, 3, 4, 5, 2, 7, 7, 7, 6, 6, 6, 7, 2, 7, 6, 11, G
5, 11, 7, 8, 6, 6, 6, 6, 7, 6, 6, 9, 4, 9, 4, 8, G
7, 11, 7, 8, 6, 6, 6, 6, 6, 10, 6, 14, 5, 8, 6, 7, G
2, 5, 3, 3, 2, 6, 7, 5, 5, 10, 7, 10, 2, 9, 4, 9, G
1, 0, 1, 1, 0, 7, 7, 6, 5, 6, 5, 9, 1, 7, 5, 10, G
5, 12, 4, 6, 4, 7, 6, 4, 2, 8, 6, 8, 4, 9, 9, 7, G
6, 11, 8, 8, 9, 8, 7, 6, 2, 7, 6, 11, 5, 8, 9, 7, G
4, 9, 5, 7, 6, 7, 7, 6, 2, 7, 6, 11, 4, 9, 8, 7, G
5, 8, 6, 7, 7, 7, 9, 5, 2, 7, 7, 8, 6, 11, 7, 8, G
4, 7, 4, 5, 2, 6, 7, 6, 5, 9, 8, 10, 2, 8, 4, 9, G
7, 11, 9, 8, 11, 8, 5, 4, 3, 6, 5, 10, 8, 7, 9, 13, G
4, 8, 5, 6, 2, 7, 6, 7, 9, 6, 6, 9, 2, 8, 6, 11, G
4, 6, 4, 4, 3, 6, 7, 5, 5, 9, 8, 11, 2, 8, 4, 10, G
4, 8, 6, 6, 6, 7, 7, 6, 3, 6, 6, 9, 4, 8, 7, 8, G
4, 9, 5, 6, 3, 6, 7, 7, 6, 9, 7, 12, 2, 8, 4, 10, G
3, 4, 4, 7, 2, 6, 5, 8, 8, 6, 5, 10, 1, 8, 6, 11, G
7, 10, 9, 8, 9, 7, 5, 6, 3, 7, 6, 10, 5, 8, 7, 8, G
6, 9, 5, 4, 3, 8, 3, 4, 3, 7, 3, 5, 4, 7, 4, 9, G
9, 14, 8, 8, 5, 7, 4, 6, 3, 8, 5, 4, 4, 8, 6, 6, G
5, 11, 5, 8, 5, 5, 7, 5, 4, 9, 9, 9, 2, 8, 5, 9, G
3, 6, 4, 4, 2, 6, 6, 5, 7, 7, 5, 10, 2, 10, 4, 8, G
5, 6, 7, 5, 7, 7, 8, 6, 3, 7, 7, 8, 6, 11, 7, 8, G
3, 5, 4, 3, 2, 6, 6, 6, 5, 8, 7, 11, 2, 8, 4, 10, G
7, 10, 7, 8, 4, 7, 6, 7, 8, 11, 5, 12, 3, 9, 5, 8, G
3, 1, 4, 2, 2, 7, 7, 5, 6, 7, 6, 9, 3, 7, 4, 8, G
3, 4, 4, 3, 2, 6, 7, 5, 5, 9, 7, 10, 2, 9, 4, 9, G
4, 11, 5, 8, 3, 7, 6, 9, 8, 6, 6, 11, 2, 8, 5, 11, G
6, 6, 8, 6, 7, 7, 9, 5, 3, 7, 7, 8, 8, 11, 8, 7, G
2, 3, 3, 5, 2, 8, 8, 8, 6, 5, 7, 9, 2, 7, 5, 11, G
4, 4, 5, 6, 2, 8, 5, 7, 9, 8, 4, 12, 1, 9, 5, 10, G
2, 1, 3, 2, 2, 7, 7, 5, 5, 6, 6, 10, 2, 9, 3, 9, G
1, 0, 2, 0, 0, 8, 6, 5, 4, 6, 5, 9, 1, 8, 5, 10, G
4, 7, 4, 5, 3, 6, 7, 5, 5, 9, 7, 12, 2, 9, 4, 10, G
6, 10, 6, 7, 5, 5, 7, 6, 5, 9, 7, 12, 2, 9, 5, 8, G
3, 8, 5, 6, 4, 8, 7, 7, 5, 6, 6, 9, 2, 7, 5, 11, G
4, 8, 6, 6, 6, 8, 5, 4, 3, 7, 5, 11, 6, 8, 4, 11, G
3, 5, 4, 4, 2, 6, 6, 5, 5, 9, 7, 11, 2, 9, 4, 10, G
4, 6, 5, 4, 5, 9, 8, 6, 2, 5, 7, 9, 6, 10, 3, 8, G
4, 8, 5, 6, 4, 7, 6, 7, 7, 7, 4, 11, 1, 8, 5, 11, G
6, 8, 8, 7, 9, 7, 6, 6, 4, 7, 7, 9, 10, 8, 9, 9, G
2, 4, 3, 3, 2, 6, 7, 5, 4, 9, 7, 10, 2, 9, 4, 10, G
2, 3, 3, 2, 1, 6, 7, 5, 5, 9, 7, 10, 2, 8, 4, 10, G
1, 3, 2, 1, 1, 7, 7, 5, 4, 9, 7, 9, 2, 8, 3, 10, G
3, 7, 4, 5, 3, 7, 6, 6, 6, 6, 5, 9, 2, 9, 6, 11, G
4, 5, 5, 8, 3, 7, 6, 8, 8, 6, 6, 10, 1, 8, 6, 11, G
5, 9, 5, 7, 4, 6, 6, 7, 6, 8, 7, 12, 3, 7, 5, 8, G
3, 4, 5, 7, 2, 8, 7, 9, 7, 5, 6, 10, 2, 7, 5, 10, G
2, 3, 3, 2, 1, 7, 7, 5, 6, 10, 6, 10, 2, 9, 3, 9, G
3, 4, 4, 3, 2, 6, 6, 6, 6, 9, 7, 11, 2, 9, 4, 10, G
5, 10, 5, 8, 4, 5, 6, 6, 5, 9, 8, 12, 2, 9, 4, 10, G
2, 4, 3, 6, 2, 7, 7, 8, 6, 5, 7, 9, 2, 7, 5, 11, G
3, 8, 4, 6, 3, 6, 6, 6, 6, 7, 5, 11, 3, 10, 4, 8, G
1, 0, 1, 0, 0, 7, 8, 10, 1, 7, 6, 8, 2, 8, 0, 8, H
2, 6, 3, 4, 2, 7, 6, 12, 2, 7, 8, 8, 3, 9, 0, 8, H
4, 5, 5, 4, 4, 8, 7, 6, 6, 7, 6, 8, 3, 8, 4, 7, H
5, 6, 7, 4, 5, 5, 9, 3, 6, 10, 9, 9, 3, 9, 3, 6, H
3, 2, 4, 4, 3, 8, 7, 6, 6, 7, 6, 8, 3, 8, 3, 8, H
4, 9, 6, 6, 5, 7, 6, 7, 7, 7, 7, 9, 3, 8, 3, 9, H
8, 10, 11, 8, 7, 9, 7, 3, 6, 10, 4, 7, 3, 8, 4, 8, H
6, 8, 9, 6, 7, 5, 8, 3, 7, 10, 9, 9, 4, 9, 4, 6, H
6, 11, 6, 8, 3, 7, 7, 15, 0, 7, 6, 8, 3, 8, 0, 8, H
3, 7, 4, 4, 2, 7, 8, 14, 1, 7, 5, 8, 3, 8, 0, 8, H
4, 7, 6, 10, 6, 8, 12, 5, 2, 9, 7, 5, 4, 11, 8, 4, H
7, 11, 10, 8, 8, 5, 9, 3, 6, 10, 9, 8, 6, 11, 5, 6, H
6, 7, 9, 5, 6, 10, 6, 3, 6, 10, 3, 7, 3, 7, 3, 9, H
